date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:56	112970/112970	---M-Z	200	added ('OK')	text/html	etag:W/%221ac19-YyPudCt69OnDA1ezeNR9tB9Erw8%22	https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/index.html	(from )
00:54:56	197/197	---M-Z	200	added ('OK')	text/plain	etag:%2260e79d86-2aa%22	https://gestion.pe/robots.txt		(from )
00:54:57	195966/195966	---M-Z	200	added ('OK')	text/css	etag:W/%2254d2bac30c29fe6d08b7e172ad70b70f%22	https://cdnc.gestion.pe/dist/gestion/css/style.css?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdnc.gestion.pe/dist/gestion/css/stylecc05.css	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:58	1265/1265	---M--	200	added ('OK')	binary/octet-stream	etag:%226606853bcf49fcbbc330c1d04b5ba7eb%22	https://cdna.gestion.pe/resources/dist/gestion/images/favicon.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/favicon2d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:58	1128/1128	---M--	200	added ('OK')	binary/octet-stream	etag:%22c167559af0a3529cf3200a53ef343034%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon2d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:58	1518/1518	---M--	200	added ('OK')	binary/octet-stream	etag:%2204268c8c1b15df5476303b78b0898af2%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-76x76.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-76x762d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:58	1876/1876	---M--	200	added ('OK')	binary/octet-stream	etag:%224934e7a346277250884c5282df833304%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-120x120.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-120x1202d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:58	2461/2461	---M--	200	added ('OK')	binary/octet-stream	etag:%2291af63b3ef7e6256237b02158d1eb981%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-144x144.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-144x1442d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:59	2590/2590	---M--	200	added ('OK')	binary/octet-stream	etag:%2256498aaaff1e84a196e6a1a5de030256%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-152x152.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-152x1522d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:54:59	3300/3300	---M--	200	added ('OK')	binary/octet-stream	etag:%22b2dc60f9b927fca27ff4a27499786ad9%22	https://cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-180x180.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/cdna.gestion.pe/resources/dist/gestion/images/apple-touch-icon-180x1802d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:00	212992/212992	---M-Z	200	added ('OK')	application/js	etag:%224270211ed9a7f34227ca222a1a4ba8cf%22	https://d34fzxxwb5p53o.cloudfront.net/output/assets/js/prebid.js?v=2021-07-09	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/d34fzxxwb5p53o.cloudfront.net/output/assets/js/prebid72ee.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:03	36502/36502	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260e79439-8e96%22	http://static.chartbeat.com/js/chartbeat.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/static.chartbeat.com/js/chartbeat.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:03	23053/23053	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260e71e19-5a0d%22	http://static.chartbeat.com/js/chartbeat_mab.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/static.chartbeat.com/js/chartbeat_mab.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:03	112863/112863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c82aaf00da4f15ce3f186847cd5fe9ff%22	https://d1r08wok4169a5.cloudfront.net/ads/arcads.js?v=2021-07-09	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/d1r08wok4169a5.cloudfront.net/ads/arcads72ee.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:03	310296/310296	---M-Z	200	added ('OK')	application/javascript	etag:W/%226b076ba18c7700b34a5c6249ccbc2993%22	https://gestion.pe/pf/dist/engine/react.js?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/gestion.pe/pf/dist/engine/reactcc05.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:04	804767/804767	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcfd9478506b48f1d25352d9a2c8d14b%22	https://gestion.pe/pf/dist/components/combinations/default.js?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/gestion.pe/pf/dist/components/combinations/defaultcc05.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:05	47241/47241	---M--	200	added ('OK')	application/javascript	etag:%22b54d4cf2e03a769a27529ed6e85b8833%22	https://arc-subs-sdk.s3.amazonaws.com/prod/sdk-identity.min.js?v=07112019	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/arc-subs-sdk.s3.amazonaws.com/prod/sdk-identity.min9cd5.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:05	92898/92898	---M-Z	200	added ('OK')	application/javascript	etag:%22b553d101f15ed792701cd35635ac0a35%22	https://elcomercio-gestion-prod.cdn.arcpublishing.com/arc/subs/p.min.js?v=2021-07-09	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/elcomercio-gestion-prod.cdn.arcpublishing.com/arc/subs/p.min72ee.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
00:55:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2009%20Jul%202021%2005:55:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Producto%20II/Gestion%20II/Gestion%20II/www.googletagmanager.com/gtm.115445.delayed	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/02/plin-yape.html/)
